id;name;street_address;postal_code;city;state_province;country;start_date;deadline;status
1;clearly purple thorn;whether;beneath;North Christ;oh eventually;Germany;2023-11-12;2023-11-11;PAUSED
2;complaint;automatic;bah;Brooklyn Park;considering;Solomon Islands;2023-11-12;2023-11-12;DELAYED
3;hungrily;save ha excitedly;gee;New Hannabury;ugh or;Saint Kitts and Nevis;2023-11-11;2023-11-11;PENDING
4;whose candidacy moment;rubbish even ouch;after ah;Sugar Land;stupidity;Belarus;2023-11-12;2023-11-12;PAUSED
5;brochure emulate review;confusion hence ew;hm till;Fort Kianna;so;Gibraltar;2023-11-12;2023-11-12;FINALIZED
6;stance;frame flashy;jeer;Ullrichfield;kissingly;Venezuela;2023-11-12;2023-11-12;PAUSED
7;improvise measly after;correctly;quick-witted on incidentally;Ornton;triumphantly;Democratic People's Republic of Korea;2023-11-12;2023-11-11;PAUSED
8;enormous yippee in;calmly;via toward fussy;Padbergshire;for vastly button;Brazil;2023-11-12;2023-11-12;FINALIZED
9;strew as;fondly instead;fairly;Bruentown;supervisor ha;Falkland Islands (Malvinas);2023-11-12;2023-11-11;ON_PROGRESS
10;heart;via at;satisfied during;Port Ansley;meh;Wallis and Futuna;2023-11-12;2023-11-12;ON_PROGRESS
